epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,19941.3,0.76482,0.66534,1.13754,0.72963,0.70617,0.77252,0.62154,0.72901,0.63508,1.14242,0.00307,0.00307,0.00307
72,20220.9,0.76136,0.66461,1.13724,0.72706,0.70596,0.77281,0.62267,0.72588,0.63534,1.14041,0.002971,0.002971,0.002971
73,20495.7,0.75845,0.65957,1.13261,0.72673,0.70765,0.77288,0.62187,0.72734,0.63528,1.13919,0.002872,0.002872,0.002872
74,20771.6,0.75556,0.65252,1.13043,0.73419,0.70443,0.77545,0.62381,0.72797,0.63313,1.14012,0.002773,0.002773,0.002773
75,21047.9,0.75669,0.65413,1.13254,0.72691,0.70856,0.77543,0.62396,0.72639,0.63338,1.13864,0.002674,0.002674,0.002674
76,21324.6,0.74778,0.64392,1.12593,0.72816,0.70857,0.77465,0.62357,0.72602,0.63236,1.13799,0.002575,0.002575,0.002575
77,21598.1,0.74376,0.64186,1.12534,0.73088,0.7095,0.77671,0.62469,0.72567,0.62999,1.13833,0.002476,0.002476,0.002476
78,21871.2,0.74121,0.6374,1.12327,0.72805,0.70965,0.77554,0.62411,0.72437,0.63239,1.13691,0.002377,0.002377,0.002377
79,22145.7,0.73702,0.63303,1.11882,0.73291,0.70845,0.77719,0.62495,0.72435,0.63,1.13738,0.002278,0.002278,0.002278
80,22428.5,0.73922,0.63507,1.12028,0.73717,0.70497,0.77809,0.62602,0.7237,0.62848,1.13776,0.002179,0.002179,0.002179
81,22706.6,0.73086,0.62307,1.11704,0.73484,0.71078,0.77946,0.62709,0.72443,0.6268,1.13913,0.00208,0.00208,0.00208
82,22982.2,0.73136,0.62354,1.11953,0.73322,0.71145,0.77909,0.62718,0.7239,0.62647,1.13969,0.001981,0.001981,0.001981
83,23261.1,0.7306,0.62413,1.11765,0.73265,0.71068,0.77965,0.62739,0.72339,0.62479,1.13842,0.001882,0.001882,0.001882
84,23537.5,0.72375,0.61096,1.11082,0.73168,0.7131,0.77914,0.62671,0.72351,0.62471,1.13845,0.001783,0.001783,0.001783
85,23811.3,0.72069,0.60984,1.10798,0.72852,0.71596,0.77836,0.62629,0.72407,0.62591,1.13897,0.001684,0.001684,0.001684
86,24085.8,0.71536,0.60552,1.1068,0.73056,0.71371,0.7783,0.62655,0.72418,0.62628,1.13945,0.001585,0.001585,0.001585
87,24361.7,0.71948,0.60588,1.10915,0.73271,0.71312,0.77938,0.62701,0.72504,0.62591,1.1401,0.001486,0.001486,0.001486
88,24638.1,0.71521,0.60086,1.10776,0.73045,0.71484,0.77899,0.62675,0.72474,0.62726,1.13963,0.001387,0.001387,0.001387
89,24913.5,0.71077,0.59581,1.10243,0.72957,0.71523,0.77799,0.62654,0.72429,0.62835,1.13915,0.001288,0.001288,0.001288
90,25189,0.71018,0.59527,1.10179,0.73038,0.71372,0.77783,0.62628,0.725,0.62864,1.13907,0.001189,0.001189,0.001189
91,25518.5,0.68017,0.54906,1.08495,0.72695,0.71595,0.77797,0.62558,0.72623,0.62996,1.141,0.00109,0.00109,0.00109
92,25792.9,0.672,0.54013,1.0806,0.72893,0.71487,0.77779,0.62566,0.72591,0.62973,1.14131,0.000991,0.000991,0.000991
93,26067.2,0.66669,0.53677,1.07745,0.73165,0.71123,0.7783,0.62585,0.7259,0.62941,1.14161,0.000892,0.000892,0.000892
